Age,Salary,Experience_Years,Score,Height_cm,Weight_kg,Projects,Department,Gender,City
,74131,6,80.92,165.4,87.8,8,Finance,Male,Bangalore
48,90263,2,69.12,150.6,71.3,14,HR,Male,Delhi
34,46023,1,99.16,,60.4,7,IT,Male,Bangalore
27,,12,73.34,159.6,78.4,12,HR,Female,Bangalore
40,97221,12,93,177.3,51.6,9,,Male,Delhi
58,,17,,174.4,92.1,14,,Female,Bangalore
38,30769,10,72.52,,72.5,8,HR,Female,
42,,16,50.66,,69.8,5,Finance,Female,Mumbai
30,92955,15,97.11,165.6,96.3,13,HR,,Bangalore
30,94925,15,78.16,157.3,86.4,2,HR,Male,Mumbai
